30.01.2018;92,96;56,43;8,98;3,14;1 523,04;1 523,04;1 580,40;1 546,08;55,89;64,54;55,62;7,43;3,64;5 450,17;5 319,65;5 555,06;5 397,63;57,93
31.01.2018;92,96;54,89;9,48;3,47;1 429,69;1 429,69;1 483,50;1 450,16;54,68;63,65;54,99;7,40;3,60;5 458,68;5 318,79;5 561,00;5 395,08;56,76
01.02.2018;92,36;55,27;9,49;3,45;1 449,10;1 449,10;1 503,00;1 470,16;54,00;63,77;55,05;7,35;3,69;5 353,94;5 218,44;5 454,70;5 293,44;56,07
02.02.2018;93,22;54,54;9,56;3,44;1 379,70;1 379,70;1 431,90;1 399,24;53,61;63,56;55,00;7,41;3,67;5 418,03;5 279,81;5 519,30;5 355,55;55,77
03.02.2018;94,19;53,49;9,46;3,44;1 375,47;1 375,47;1 428,50;1 394,25;56,23;63,92;55,28;7,42;3,70;5 428,46;5 252,19;5 531,03;5 328,27;58,47
04.02.2018;96,00;54,22;9,37;3,48;1 470,40;1 470,40;1 529,10;1 490,98;61,71;65,83;56,67;7,39;3,68;5 437,26;5 218,36;5 545,86;5 297,61;64,11
05.02.2018;97,13;56,92;9,65;3,44;1 417,23;1 417,23;1 475,00;1 438,98;57,24;66,37;57,20;7,40;3,67;5 412,76;5 272,29;5 522,54;5 353,81;59,61
06.02.2018;96,01;56,78;9,65;3,40;1 397,24;1 397,24;1 453,00;1 418,59;55,07;65,54;56,61;7,38;3,62;5 409,81;5 287,60;5 516,96;5 367,75;57,28
07.02.2018;95,02;55,42;9,68;3,30;1 329,04;1 329,04;1 381,10;1 348,47;52,89;64,44;55,90;7,44;3,46;5 414,49;5 287,44;5 518,36;5 365,74;55,20
08.02.2018;93,23;54,91;9,57;3,33;1 379,03;1 379,03;1 431,20;1 398,80;53,08;63,78;55,29;7,44;3,44;5 423,59;5 290,19;5 525,63;5 366,89;55,25
09.02.2018;95,53;56,86;9,33;3,36;1 465,13;1 465,13;1 523,10;1 487,59;56,92;65,83;56,72;7,50;3,36;5 419,45;5 280,29;5 527,65;5 360,69;59,27
10.02.2018;97,92;55,97;9,53;3,36;1 451,74;1 451,74;1 511,80;1 473,33;61,18;67,14;57,77;7,46;3,32;5 426,67;5 234,83;5 539,14;5 317,37;63,87
11.02.2018;97,45;55,86;9,47;3,33;1 415,35;1 415,35;1 473,40;1 436,34;59,14;66,19;56,98;7,40;3,28;5 427,04;5 260,47;5 536,57;5 341,29;61,47
12.02.2018;98,72;57,77;9,47;3,36;1 452,70;1 452,70;1 513,70;1 475,65;59,78;67,33;57,83;7,54;3,32;5 467,75;5 319,84;5 581,62;5 403,91;62,35
13.02.2018;100,35;57,92;9,65;3,36;1 425,93;1 425,93;1 487,60;1 448,55;60,80;67,83;58,15;7,51;3,28;5 463,26;5 313,86;5 578,65;5 398,73;63,40
14.02.2018;102,92;60,48;9,48;3,41;1 505,98;1 505,98;1 574,20;1 531,89;64,23;70,12;59,52;7,31;3,44;5 333,58;5 197,63;5 453,50;5 284,34;66,74
15.02.2018;108,70;63,01;9,76;3,40;1 448,96;1 448,96;1 521,40;1 475,89;66,57;73,05;61,88;7,36;3,73;5 326,09;5 207,60;5 455,30;5 301,00;69,35
16.02.2018;111,42;63,83;9,82;3,39;1 436,68;1 436,68;1 511,80;1 464,06;68,78;74,64;63,17;7,36;3,74;5 321,08;5 188,40;5 455,42;5 285,13;71,71
17.02.2018;112,80;63,20;10,03;3,34;1 385,05;1 385,05;1 459,10;1 410,99;69,12;74,77;63,32;7,37;3,76;5 323,94;5 179,59;5 458,79;5 276,57;72,26
18.02.2018;111,66;62,49;9,93;3,36;1 408,58;1 408,58;1 482,50;1 434,40;69,66;74,58;63,26;7,37;3,77;5 327,90;5 162,30;5 462,20;5 258,79;72,92
19.02.2018;110,79;62,73;9,93;3,36;1 386,73;1 386,73;1 458,50;1 412,32;67,02;74,01;62,89;7,36;3,75;5 316,17;5 177,56;5 448,29;5 273,28;70,06
20.02.2018;106,71;60,30;9,95;3,34;1 360,14;1 360,14;1 425,90;1 383,47;63,45;70,85;60,39;7,31;3,66;5 342,13;5 207,59;5 464,63;5 296,85;66,14
21.02.2018;107,38;61,99;9,80;3,38;1 412,92;1 412,92;1 482,00;1 438,40;64,49;72,24;61,56;7,34;3,65;5 355,90;5 228,28;5 483,16;5 321,15;67,23
22.02.2018;107,31;62,69;9,76;3,40;1 450,37;1 450,37;1 521,20;1 477,07;65,07;72,65;61,79;7,37;3,71;5 329,35;5 206,44;5 457,30;5 299,56;67,78
23.02.2018;107,15;60,65;9,80;3,38;1 439,97;1 439,97;1 510,10;1 464,92;67,32;72,28;61,45;7,34;3,72;5 325,01;5 156,34;5 451,65;5 247,62;70,20
24.02.2018;106,04;58,10;9,64;3,41;1 470,21;1 470,21;1 540,50;1 493,69;70,83;71,25;60,28;7,25;3,65;5 339,94;5 120,08;5 463,66;5 207,52;73,85
25.02.2018;107,90;58,80;9,77;3,37;1 428,72;1 428,72;1 499,20;1 452,05;70,51;72,53;61,64;7,32;3,72;5 332,96;5 112,55;5 460,64;5 203,58;73,80
26.02.2018;104,68;60,27;9,84;3,36;1 375,48;1 375,48;1 439,70;1 399,01;61,41;70,41;60,21;7,35;3,72;5 312,26;5 180,41;5 432,61;5 268,65;64,09
27.02.2018;104,53;58,97;9,76;3,37;1 252,57;1 252,57;1 310,90;1 273,24;57,37;70,18;59,66;7,35;3,67;4 646,05;4 499,42;4 750,78;4 574,98;59,88
28.02.2018;100,74;58,56;9,63;3,37;1 399,52;1 399,52;1 460,50;1 422,25;59,32;68,71;59,20;7,40;3,72;5 358,36;5 212,06;5 474,38;5 298,09;61,83
01.03.2018;98,42;57,27;9,29;3,39;1 489,40;1 489,40;1 551,60;1 512,55;61,56;67,47;57,82;7,39;3,70;5 411,76;5 245,28;5 524,94;5 328,03;64,04
02.03.2018;99,48;58,04;9,40;3,36;1 452,45;1 452,45;1 514,30;1 475,59;60,48;67,84;58,17;7,39;3,69;5 406,65;5 261,81;5 520,91;5 345,79;62,94
03.03.2018;96,78;56,46;9,47;3,35;1 445,84;1 445,84;1 504,40;1 467,74;58,57;66,33;57,14;7,36;3,66;5 409,83;5 252,32;5 519,46;5 333,36;60,99
04.03.2018;96,43;53,88;9,52;3,35;1 368,24;1 368,24;1 423,30;1 387,18;58,48;65,01;56,06;7,31;3,63;5 415,85;5 235,04;5 521,53;5 312,93;60,83
05.03.2018;100,40;57,96;9,40;3,38;1 405,64;1 405,64;1 466,50;1 427,97;59,93;67,85;58,16;7,40;3,71;5 386,40;5 246,64;5 500,25;5 330,33;62,40
06.03.2018;102,17;60,49;9,29;3,41;1 514,02;1 514,02;1 581,70;1 540,10;63,41;69,89;59,53;7,36;3,67;5 376,83;5 238,99;5 496,96;5 326,35;65,96
07.03.2018;104,63;61,92;9,39;3,39;1 508,03;1 508,03;1 578,40;1 535,16;64,74;71,43;60,73;7,29;3,58;5 344,49;5 217,49;5 468,86;5 307,86;67,23
08.03.2018;103,87;61,35;9,27;3,41;1 543,41;1 543,41;1 614,50;1 570,72;65,97;71,02;60,26;7,31;3,62;5 370,44;5 228,75;5 494,07;5 317,97;68,54
09.03.2018;105,06;58,66;9,78;3,34;1 394,08;1 394,08;1 459,60;1 416,79;65,02;69,99;59,59;7,38;3,70;5 373,38;5 207,57;5 493,76;5 294,58;67,91
10.03.2018;98,21;55,04;9,61;3,33;1 435,22;1 435,22;1 495,00;1 455,99;62,23;67,03;57,64;7,25;3,58;5 387,17;5 175,91;5 498,64;5 257,21;64,93
11.03.2018;96,70;54,16;9,37;3,36;1 435,15;1 435,15;1 493,20;1 455,22;61,31;65,69;56,39;7,25;3,58;5 388,01;5 184,84;5 495,22;5 262,87;63,72
12.03.2018;100,71;58,62;9,39;3,35;1 449,18;1 449,18;1 512,30;1 472,71;61,28;68,26;58,28;7,28;3,58;5 362,72;5 223,32;5 477,41;5 307,04;63,70
13.03.2018;104,89;61,94;9,55;3,39;1 481,17;1 481,17;1 550,60;1 507,86;63,96;71,56;61,00;7,39;3,71;5 344,22;5 214,96;5 468,99;5 305,99;66,64
14.03.2018;104,25;61,29;9,59;3,38;1 443,96;1 443,96;1 510,90;1 469,46;62,35;70,88;60,56;7,34;3,65;5 341,79;5 218,57;5 464,31;5 308,46;64,92
15.03.2018;101,90;60,34;9,50;3,38;1 463,51;1 463,51;1 528,60;1 488,60;61,14;69,68;59,63;7,28;3,59;5 339,78;5 209,06;5 458,42;5 296,21;63,54
16.03.2018;104,06;60,23;9,60;3,36;1 424,75;1 424,75;1 490,60;1 449,08;62,76;70,07;59,71;7,28;3,60;5 342,01;5 211,78;5 461,95;5 299,20;65,23
