01.01.2018;106,42;64,81;7,62;1,56;3071,83;2912,96;3 219,97;2 970,32;128,49;72,22;58,6;6,66;4,58;8335,59;8062,45;8 533,82;8 192,71;129,54
02.01.2018;111,6;65,18;8,02;1,5;2989,19;2852,08;3 146,15;2 908,85;139,56;74,6;60,76;6,62;4,32;8711,38;8381,76;8 931,34;8 526,83;140,6
03.01.2018;112,38;66,73;8,01;1,52;2999,23;2866,2;3 158,72;2 925,74;137,76;75,33;61,31;6,67;4,37;8686,64;8379,00;8 909,91;8 526,49;140,87
04.01.2018;112,68;66,33;8,02;1,52;2972,33;2842,12;3 131,16;2 900,55;138,6;75,43;61,44;6,64;4,33;8703,71;8388,80;8 927,99;8 537,04;141,61
05.01.2018;112,55;65,66;7,9;1,5;2952,31;2820,8;3 109,75;2 877,68;139,26;75,19;61,11;6,63;4,36;8633,01;8325,43;8 854,16;8 471,07;140,66
06.01.2018;112,9;66,57;8,09;1,48;2918,96;2793,62;3 075,49;2 851,54;136,09;75,29;61,43;6,58;4,3;8707,48;8389,05;8 931,10;8 537,25;140,48
07.01.2018;110,69;64,98;8,12;1,47;2876,88;2756,2;3 025,74;2 810,82;132,28;74,06;60,59;6,56;4,31;8639,54;8330,93;8 854,82;8 474,38;135,46
08.01.2018;109,94;62,59;8,2;1,46;2729,08;2614,78;2 868,55;2 663,09;129,96;72,68;59,06;6,56;4,5;8365,85;8021,86;8 567,16;8 153,42;133,73
09.01.2018;113,13;64,01;8,32;1,46;2741,5;2624,19;2 889,04;2 674,74;135,48;74,32;60,46;6,69;4,52;8536,58;8217,36;8 750,58;8 358,20;137,75
10.01.2018;111,08;62,44;8,3;1,44;2642,05;2521,02;2 779,63;2 567,35;129,25;72,87;59,24;6,65;4,59;8319;7985,30;8 520,12;8 116,98;132,82
11.01.2018;105,86;62,13;7,92;1,44;2844,22;2700,96;2 979,99;2 750,11;125,06;71,27;58,36;6,64;4,56;8388,62;8076,21;8 583,28;8 205,67;126,57
12.01.2018;104,86;61,92;8,16;1,46;2796,69;2657,61;2 927,87;2 705,69;120,77;70,58;58,03;6,67;4,55;8434,07;8151,67;8 626,27;8 280,97;122,46
13.01.2018;103,97;61,41;8,27;1,49;2760,84;2617,18;2 888,39;2 663,78;118,14;70,05;57,37;6,68;4,7;8182,89;7888,85;8 366,77;8 011,22;120,48
14.01.2018;99,7;59,77;8,07;1,51;3028,21;2861,64;3 157,85;2 910,17;121,52;68,63;56,02;6,72;4,78;8149,47;7785,68;8 325,74;7 901,11;123,23
15.01.2018;104,42;63,35;7,66;1,57;3240,46;3059,44;3 391,41;3 117,14;133,8;71,97;58,38;6,93;4,88;8298,55;7930,46;8 494,51;8 057,57;133,72
16.01.2018;109,31;64,08;7,66;1,52;2928,73;2762,19;3 076,94;2 815,49;133,23;72,97;59,23;6,84;4,7;8441;8144,68;8 645,54;8 278,89;133,73
17.01.2018;112,46;64,56;7,88;1,49;2816,16;2659,67;2 966,13;2 711,72;135,68;74,38;60,15;6,75;4,67;8273,6;7966,77;8 481,32;8 101,94;136,25
